address,city,state,zip_code,price,bedrooms,bathrooms,square_feet,listing_date,latitude,longitude,url,walkscore,transit_score,bike_score,walkscore_error,median_income,population,white_pop,black_pop,asian_pop,hispanic_pop,competition_density,population_density_proxy,diversity_index,affordability_index,price_per_sqft,affordability_ratio,rent_premium
1244 N Bosworth Ave #2A,Chicago,IL,60642,3695.0,3.0,3.0,1500.0,1970-01-01,41.904743,-87.66659,https://www.zillow.com/homedetails/2062786059_zpid/,99.0,76.0,97.0,,131201.0,21374.0,15076.0,2067.0,1595.0,3406.0,3,7124.666666666667,0.4621773703945162,35.50771312584574,2.4633333333333334,0.3379547411986189,1072.5
1555 N Mohawk St UNIT A4,Chicago,IL,60610,1950.0,1.0,1.0,700.0,1970-01-01,41.910915,-87.64222,https://www.zillow.com/homedetails/2057111847_zpid/,93.0,85.0,90.0,,99246.0,42422.0,30940.0,5110.0,4019.0,2109.0,1,42422.0,0.442108585263204,50.89538461538461,2.7857142857142856,0.23577776434314734,-672.5
1343 N Western Ave #3,Chicago,IL,60622,3550.0,3.0,2.0,1600.0,1970-01-01,41.90616,-87.68672,https://www.zillow.com/homedetails/2077672712_zpid/,91.0,72.0,93.0,,110694.0,54650.0,41086.0,3868.0,2794.0,11270.0,6,9108.333333333334,0.3846426336103742,31.181408450704225,2.21875,0.38484470703019136,927.5
749 E 73rd St #2W,Chicago,IL,60619,1500.0,3.0,1.0,1200.0,1970-01-01,41.762047,-87.60606,https://www.zillow.com/homedetails/2078297029_zpid/,79.0,68.0,66.0,,43329.0,63481.0,809.0,60318.0,169.0,1043.0,3,21160.33333333333,0.0967297960390316,28.886,1.25,0.41542615800041544,-1122.5
2615 E 74th Pl,Chicago,IL,60649,2300.0,3.0,3.0,2200.0,1970-01-01,41.75999,-87.560074,https://www.zillow.com/homedetails/4025732_zpid/,77.0,68.0,60.0,,38026.0,48973.0,1900.0,45585.0,294.0,1409.0,2,24486.5,0.131206940822806,16.53304347826087,1.0454545454545454,0.7258191763530216,-322.5
964 E 62nd St #1,Chicago,IL,60637,1350.0,1.0,2.0,700.0,1970-01-01,41.782585,-87.601814,https://www.zillow.com/homedetails/2096872669_zpid/,78.0,75.0,70.0,,31720.0,49514.0,8031.0,36606.0,2505.0,1377.0,3,16504.666666666668,0.4237858972286115,23.496296296296297,1.9285714285714286,0.510718789407314,-1272.5
8034 S Marshfield Ave FLOOR 3,Chicago,IL,60620,1450.0,2.0,1.0,1200.0,1970-01-01,41.747444,-87.664925,https://www.zillow.com/homedetails/456244868_zpid/,79.0,62.0,60.0,,40117.0,69357.0,1157.0,65720.0,230.0,1937.0,5,13871.4,0.1010585799589965,27.66689655172414,1.2083333333333333,0.4337313358426602,-1172.5
1533 S Spaulding Ave #1,Chicago,IL,60623,1600.0,3.0,1.0,1200.0,1970-01-01,41.85988,-87.707565,https://www.zillow.com/homedetails/2099155031_zpid/,75.0,65.0,77.0,,35890.0,77352.0,22889.0,22680.0,288.0,51574.0,3,25784.0,0.3819080739065081,22.43125,1.3333333333333333,0.53496795764837,-1022.5
805 N Wabash Ave #42-2E,Chicago,IL,60611,2495.0,1.0,1.0,729.0,1970-01-01,41.896973,-87.62668,https://www.zillow.com/homedetails/456244694_zpid/,100.0,94.0,84.0,,117344.0,34562.0,24162.0,1077.0,7172.0,2232.0,1,34562.0,0.4630686622365171,47.03166332665331,3.422496570644719,0.25514725934006,-127.5
4303 N Paulina St #1,Chicago,IL,60613,3100.0,3.0,3.0,,1970-01-01,41.959965,-87.67034,https://www.zillow.com/homedetails/2069350964_zpid/,87.0,74.0,94.0,,88267.0,53282.0,41222.0,3146.0,4651.0,6124.0,3,17760.666666666668,0.3771386003518082,28.47322580645161,,0.421448559484292,477.5
